university_slug,university_display_name,program,current_pd_fees_value,suppression_rule,programFees_value_if_any,feeMin,feeMax,live_url,gsc_impressions,priority_rank,VERIFIED_TOTAL_FEE,VERIFIED_PER_SEM_FEE,VERIFIED_REGISTRATION_FEE,SOURCE_NOTE,VERIFIED_DATE
gujarat-university-online,Gujarat University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/gujarat-university-online/ma,0,102,,,,,
guru-ghasidas-vishwavidyalaya-online,Guru Ghasidas Vishwavidyalaya (GGU) Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/guru-ghasidas-vishwavidyalaya-online/ma,0,103,,,,,
hindustan-institute-technology-online,Hindustan Institute of Technology and Science (CODE) Online,B.Com,,4b,,60000,200000,https://edifyedu.in/universities/hindustan-institute-technology-online/bcom,0,104,,,,,
hindustan-institute-technology-online,Hindustan Institute of Technology and Science (CODE) Online,BBA,,4b,,60000,200000,https://edifyedu.in/universities/hindustan-institute-technology-online/bba,0,105,,,,,
hindustan-institute-technology-online,Hindustan Institute of Technology and Science (CODE) Online,BCA,,4b,,60000,200000,https://edifyedu.in/universities/hindustan-institute-technology-online/bca,0,106,,,,,
ignou-online,Indira Gandhi National Open University (IGNOU) Online,BCA,"₹21,600",4b,49800,66000,66000,https://edifyedu.in/universities/ignou-online/bca,0,107,,,,"INTENTIONALLY BLANK: prior '90' value was a credit-count entry error, not a fee. IGNOU BCA total needs same semester-count confirmation as MCA before backfill",2026-08-04
integral-university-online,Integral University Online,MA,,4b,,110000,110000,https://edifyedu.in/universities/integral-university-online/ma,0,108,,,,,
integral-university-online,Integral University Online,MCA,,4b,,110000,110000,https://edifyedu.in/universities/integral-university-online/mca,0,109,,,,,
jain-university-online,JAIN (Deemed-to-be University) Online,MA,,4b,,160000,196000,https://edifyedu.in/universities/jain-university-online/ma,0,110,,,,,
karnataka-state-open-university-online,Karnataka State Open University (KSOU) Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/karnataka-state-open-university-online/ma,0,111,,,,,
karnataka-state-open-university-online,Karnataka State Open University (KSOU) Online,MCA,,4b,,60000,200000,https://edifyedu.in/universities/karnataka-state-open-university-online/mca,0,112,,,,,
kiit-university-online,KIIT Deemed to be University Online,B.Com,,4b,,60000,200000,https://edifyedu.in/universities/kiit-university-online/bcom,0,113,,,,,
kiit-university-online,KIIT Deemed to be University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/kiit-university-online/ma,0,114,,,,,
kl-university-online,Koneru Lakshmaiah Education Foundation (KL University) Online,MBA,₹65K – ₹85K,4b,,65500,65500,https://edifyedu.in/universities/kl-university-online/mba,0,115,73500,,1000,"official KL University Online fee page, screenshot verified (tuition 64000 over 4 sems + exam 2000 + LMS 6000 + reg 1000)",2026-08-04
lovely-professional-university-online,Lovely Professional University Online,MA,,4b,,161600,200000,https://edifyedu.in/universities/lovely-professional-university-online/ma,0,116,,,,,
madurai-kamaraj-university-online,MADURAI KAMARAJ UNIVERSITY Online,BCA,,4b,,75000,180000,https://edifyedu.in/universities/madurai-kamaraj-university-online/bca,0,117,,,,,
madurai-kamaraj-university-online,MADURAI KAMARAJ UNIVERSITY Online,MCA,,4b,,75000,180000,https://edifyedu.in/universities/madurai-kamaraj-university-online/mca,0,118,,,,,
manav-rachna-online,Manav Rachna Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/manav-rachna-online/ma,0,119,,,,,
manipal-university-jaipur-online,Manipal University Jaipur (MUJ) Online,MA,,4b,,153000,180000,https://edifyedu.in/universities/manipal-university-jaipur-online/ma,0,120,,,,,
manonmaniam-sundaranar-university-online,Manonmaniam Sundaranar University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/manonmaniam-sundaranar-university-online/ma,0,121,,,,,
marwadi-university-online,Marwadi University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/marwadi-university-online/ma,0,122,,,,,
mizoram-university-online,Mizoram University (MZU) Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/mizoram-university-online/ma,0,123,,,,,
parul-university-online,Parul University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/parul-university-online/ma,0,124,,,,,
pp-savani-university-online,P P Savani University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/pp-savani-university-online/ma,0,125,,,,,
sathyabama-university-online,Sathyabama Institute of Science and Technology (Centre Online,MSc,,4b,,60000,200000,https://edifyedu.in/universities/sathyabama-university-online/msc,0,126,,,,,
sgt-university-online,SGT University Online,MCA,,4b,,60000,200000,https://edifyedu.in/universities/sgt-university-online/mca,0,127,,,,,
shoolini-university-online,Shoolini University Online,MA,,4b,,118000,130000,https://edifyedu.in/universities/shoolini-university-online/ma,0,128,,,,,
sikkim-manipal-university-online,Sikkim Manipal University Online,MA,,4b,,120000,120000,https://edifyedu.in/universities/sikkim-manipal-university-online/ma,0,129,,,,,
symbiosis-university-online,"Symbiosis School for Online and Digital Learning (SSODL), Pune Online",MA,,4b,,315000,370000,https://edifyedu.in/universities/symbiosis-university-online/ma,0,130,,,,,
university-of-mumbai-online,UNIVERSITY OF MUMBAI Online,BBA,,4b,,90000,200000,https://edifyedu.in/universities/university-of-mumbai-online/bba,0,131,,,,,
university-of-mumbai-online,UNIVERSITY OF MUMBAI Online,BCA,,4b,,90000,200000,https://edifyedu.in/universities/university-of-mumbai-online/bca,0,132,,,,,
university-of-mumbai-online,UNIVERSITY OF MUMBAI Online,MCA,,4b,,90000,200000,https://edifyedu.in/universities/university-of-mumbai-online/mca,0,133,,,,,
vignan-university-online,"Vignan's Foundation for Science, Technology & Research Online",BBA,,4b,,90000,90000,https://edifyedu.in/universities/vignan-university-online/bba,0,134,,,,,
vignan-university-online,"Vignan's Foundation for Science, Technology & Research Online",BCA,₹150K – ₹150K,4b,108000,90000,90000,https://edifyedu.in/universities/vignan-university-online/bca,0,135,121000,18000,1000,"official Vignan University Online fee page, screenshot verified (tuition 108000 + exam 4000/yr for 3 yrs + reg 1000)",2026-08-04
vit-university-online,Vellore Institute of Science and Technology (VIT Online,MSc,,4b,,160000,160000,https://edifyedu.in/universities/vit-university-online/msc,0,136,,,,,
vivekananda-global-university-online,Vivekananda Global University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/vivekananda-global-university-online/ma,0,137,,,,,
