url,university,programme,slug,title-cased-name-emitted
"/universities/manonmaniam-sundaranar-university-online/mba/hr-management","manonmaniam-sundaranar-university-online","MBA","hr-management","Hr Management"
"/universities/manonmaniam-sundaranar-university-online/mba/marketing","manonmaniam-sundaranar-university-online","MBA","marketing","Marketing"
"/universities/marwadi-university-online/mba/hr-management","marwadi-university-online","MBA","hr-management","Hr Management"
"/universities/marwadi-university-online/mca/software-engineering","marwadi-university-online","MCA","software-engineering","Software Engineering"
"/universities/marwadi-university-online/mca/web-and-mobile","marwadi-university-online","MCA","web-and-mobile","Web And Mobile"
"/universities/mats-university-online/bba/general-management-contact-university-for-specialisation-structure","mats-university-online","BBA","general-management-contact-university-for-specialisation-structure","General Management Contact University For Specialisation Structure"
"/universities/mats-university-online/bca/general-computer-applications-contact-university-for-specialisation","mats-university-online","BCA","general-computer-applications-contact-university-for-specialisation","General Computer Applications Contact University For Specialisation"
"/universities/mats-university-online/mba/finance-marketing-human-resources-operations-strategy-contact-university-for-specialisation-structure","mats-university-online","MBA","finance-marketing-human-resources-operations-strategy-contact-university-for-specialisation-structure","Finance Marketing Human Resources Operations Strategy Contact University For Specialisation Structure"
"/universities/mizoram-university-online/mba/finance","mizoram-university-online","MBA","finance","Finance"
"/universities/mizoram-university-online/mba/marketing","mizoram-university-online","MBA","marketing","Marketing"
"/universities/mizoram-university-online/mba/supply-chain-management","mizoram-university-online","MBA","supply-chain-management","Supply Chain Management"
"/universities/mody-university-online/mca/artificial-intelligence-machine-learning","mody-university-online","MCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning"
"/universities/nmims-online/mba/hr-management","nmims-online","MBA","hr-management","Hr Management"
"/universities/nmims-online/mba/marketing","nmims-online","MBA","marketing","Marketing"
"/universities/noida-international-university-online/mca/ai-data-science","noida-international-university-online","MCA","ai-data-science","Ai Data Science"
"/universities/noida-international-university-online/mca/cyber-security","noida-international-university-online","MCA","cyber-security","Cyber Security"
"/universities/northcap-university-online/bba/finance","northcap-university-online","BBA","finance","Finance"
"/universities/northcap-university-online/bba/human-resource-management","northcap-university-online","BBA","human-resource-management","Human Resource Management"
"/universities/northcap-university-online/bba/marketing","northcap-university-online","BBA","marketing","Marketing"
"/universities/parul-university-online/bca/general-data-mining","parul-university-online","BCA","general-data-mining","General Data Mining"
"/universities/parul-university-online/bca/general-deep-learning","parul-university-online","BCA","general-deep-learning","General Deep Learning"
