university,programme,spec_slug,currently_emitted_name,verified_name,page_url
"hindustan-institute-technology-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/hindustan-institute-technology-online/mba/hr-management"
"hindustan-institute-technology-online","MBA","logistics-and-supply-chain-management","Logistics And Supply Chain Management","","https://edifyedu.in/universities/hindustan-institute-technology-online/mba/logistics-and-supply-chain-management"
"hindustan-institute-technology-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/hindustan-institute-technology-online/mba/marketing"
"hindustan-institute-technology-online","MBA","operations","Operations","","https://edifyedu.in/universities/hindustan-institute-technology-online/mba/operations"
"jagannath-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/jagannath-university-online/mba/hr-management"
"jagannath-university-online","MBA","it-management","IT Management","","https://edifyedu.in/universities/jagannath-university-online/mba/it-management"
"jain-university-online","BBA","data-science-analytics","Data Science Analytics","","https://edifyedu.in/universities/jain-university-online/bba/data-science-analytics"
"jain-university-online","BCA","data-science-analytics","Data Science Analytics","","https://edifyedu.in/universities/jain-university-online/bca/data-science-analytics"
"jain-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/jain-university-online/mba/hr-management"
"jain-university-online","MCA","artificial-intelligence","Artificial Intelligence","","https://edifyedu.in/universities/jain-university-online/mca/artificial-intelligence"
"jain-university-online","MCA","computer-science-and-information-technology","Computer Science And Information Technology","","https://edifyedu.in/universities/jain-university-online/mca/computer-science-and-information-technology"
"jain-university-online","MCA","cyber-security","Cyber Security","","https://edifyedu.in/universities/jain-university-online/mca/cyber-security"
"jain-university-online","MCA","data-analytics","Data Analytics","","https://edifyedu.in/universities/jain-university-online/mca/data-analytics"
"jain-university-online","MCA","devops","Devops","","https://edifyedu.in/universities/jain-university-online/mca/devops"
"jain-university-online","MCA","natural-language-processing-large-language-models-development","Natural Language Processing Large Language Models Development","","https://edifyedu.in/universities/jain-university-online/mca/natural-language-processing-large-language-models-development"
"jamia-millia-islamia-online","MBA","finance","Finance","","https://edifyedu.in/universities/jamia-millia-islamia-online/mba/finance"
"jamia-millia-islamia-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/jamia-millia-islamia-online/mba/hr-management"
"jamia-millia-islamia-online","MBA","marketing","Marketing","","https://edifyedu.in/universities/jamia-millia-islamia-online/mba/marketing"
"jamia-millia-islamia-online","MBA","operations","Operations","","https://edifyedu.in/universities/jamia-millia-islamia-online/mba/operations"
"kalasalingam-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/kalasalingam-university-online/mba/hr-management"
"karnataka-state-open-university-online","BBA","supply-chain","Supply Chain","","https://edifyedu.in/universities/karnataka-state-open-university-online/bba/supply-chain"
"karnataka-state-open-university-online","MBA","human-resources","Human Resources","","https://edifyedu.in/universities/karnataka-state-open-university-online/mba/human-resources"
